ISBN,Autor,Titulo,Editora,Ano,Estante,Preco,Idioma,Capa,Peso,Dimensoes,Paginas
9788536625737,Manoel Ianzer,A Internet Tomou Conta do Planeta Terra...,Scortecci,2012,Poesia,10,Português,Comum,150,21 x 14 cm,94
9788577183746,Sandra Lya,Asas,All Print,2009,Poesia,10,Português,Comum,210,21 x 14 cm,144
9788528606829,Thiago de Mello,Campo de Milagres,Bertrand Brasil,1998,Poesia,10,Português,Comum,409,23 x 16 cm,240
ND,Judas Isgorogota,Cantos da Visitação,Oriente,1970,Poesia,10,Português,Comum,225,18 x 12 cm,196
9788590110217,Roberto Araujo,Cavalo Lírico,Santa Edwiges,1999,Poesia,10,Português,Comum,192,14 x 21 cm,120
9788599267837,Guaraciaba Micheletti,Ecos da Alma: Antologia de Poemas,Andross,2010,Poesia,10,Português,Comum,340,21 x 15 cm,252
9788590835905,Janete Nardello,Essência de Mulher,Do Autor,2010,Poesia,10,Português,Comum,345,19 x 14 cm,300
9788536624891,Adriane Dias Bueno,Estranhamento,Scortecci,2012,Poesia,10,Português,Comum,110,21 x 14 cm,52
ND,Joao Aniceto da Silva,Flores Poesia,Bable,ND,Poesia,10,Português,Comum,170,21 x 14 cm,118
9788582974315,Kiko Cesar,Inevitável Ano,Patuá,2017,Poesia,10,Português,Comum,380,24 x 18 cm,184
ND,Camões,Lírica,Cultrix,1968,Poesia,10,Português,Comum,257,20 x 13 cm,214
9788589909471,Renato Antônio de Castro Zampieri,Memórias de uma Paixão,Factash,2007,Poesia,10,Português,Comum,200,21 x 14 cm,130
9788599909089,Célio Conrado Rodrigues,O Poema Que Não Escrevi...,Vox,2016,Poesia,10,Português,Comum,250,22 x 15 cm,144
ND,Vários Autores,Ordem da Confraria dos Poetas - Série 3,Shan,ND,Poesia,10,Português,Comum,267,21 x 14 cm,198
ND,Jane Blumberg,Paisagem Íntima,Versos,1962,Poesia,10,Português,Comum,139,18 x 13 cm,64
ND,Fernando Sérgio Lyra,Planos de Gaivota,Escrituras,ND,Poesia,10,Português,Dura,250,18 x 13 cm,112
9788536625843,Marizia Cezar,Poemas do Amor: a Paz,Scortecci,2012,Poesia,10,Português,Comum,97,21 x 14 cm,40
9788561159085,Sisenando Pereira do Vale,Poemas do Verso: Busca,Onix,2008,Poesia,10,Português,Comum,190,21 x 14 cm,114
9788561159009,Sisenando Pereira do Vale,Poemas do Verso: Lembranças,Onix,2007,Poesia,10,Português,Comum,220,21 x 14 cm,144
9788582977750,Geraldo Lavigne de Lemos,Poética da Existência,Patuá,2019,Poesia,10,Português,Comum,200,21 x 14 cm,108
